Supplementary Table S5: Genomes and all associated information used herein for comparisons (na: not available).											
											
Genus	species (GTDB)	Isolate/MAG	Genome name	Isolation source	Strain	Culture collections	ncbi taxonomy	link			
Methanobrevibacter	acididurans 	Isolate	na	sour anaerobic digester		MCM B 613T ;  OCM 804T ;  ATMT ;  DSM 15163T ;  	120963	na			
Methanobrevibacter	arboriphilus	Isolate	GCF_000513315_GUT_GENOME287004_Mbb_arboriphilus_isolate	Human	ANOR1						
Methanobrevibacter	arboriphilus 	Isolate	GCA_002072215_Mbb_arboriphilus_isolate	Cotton wood tree		OCM 147T ;  ATCC 33747T ;  DSM 1125T ;  JCM 13429T ( GCM10003648 ) ;  DH1T ( GCM10004889 )	39441	https://www.ncbi.nlm.nih.gov/datasets/taxonomy/39441/			
Methanobrevibacter	arboriphilus 	Isolate	na	"Anaerobic sewage digester in Kitakyusyu, Japan"		DSM 2462; JCM 9316	39441				
Methanobrevibacter	arboriphilus 	Isolate	na	"Paddy field soil in Chikugo, Fukuoka, Japan"		DSM 7056;  JCM 9315; NBRC 101200	39441				
Methanobrevibacter	arboriphilus 	Isolate	na	digested sewage sludge		DSM 744;  OCM 137					
Methanobrevibacter	arboriphilus 	Isolate	na	soil		DSM 1536	39441				
Methanobrevibacter	boviskoreani	Isolate	GCA_000320505_Mbb_boviskoreani_isolate	"Cattle, korean"		JH-1T ;  JCM 18376T ;  JH1T ( GCM10001203 ) ;  DSM 25824T ;  KCTC 4102T ;  	1214066	https://www.ncbi.nlm.nih.gov/assembly/GCF_000320505.1/			https://bacdive.dsmz.de/strain/24156
Methanobrevibacter	curvatus	Isolate	GCA_001639295_Mbb_curvatus_isolate	Termite				https://www.ncbi.nlm.nih.gov/assembly/GCF_001639295.1/			
Methanobrevibacter	cuticularis	Isolate	GCA_001639285_Mbb_cuticularis_isolate	Termite			1348249	https://www.ncbi.nlm.nih.gov/assembly/GCF_001639285.1/			
Methanobrevibacter	filiformis	Isolate	GCA_001639265_Mbb_filiformis_isolate	Termite				https://www.ncbi.nlm.nih.gov/assembly/GCF_001639265.1/			
Methanobrevibacter	gottschalkii	Isolate	GCA_900109595_Mbb_gottschalkii_isolate	Horse				https://www.ncbi.nlm.nih.gov/assembly/GCF_003814835.1/			
Methanobrevibacter	millerae	Isolate	GCA_900103415_Mbb_millerae_isolate	Cattle				https://www.ncbi.nlm.nih.gov/assembly/GCF_900103415.1/			
Methanobrevibacter	olleyae	Isolate	GCA_001563245_Mbb_olleyae_isolate	Sheep		OCM 841T ;  KM1H5-1PT ;  DSM 16632T ( GCM10007585 ) ;  	294671	https://www.ncbi.nlm.nih.gov/assembly/GCF_900114585.1/			
Methanobrevibacter	oralis	Isolate	GCF_000529525_GUT_GENOME132204_Mbb_oralis_isolate	Human gut							
Methanobrevibacter	oralis 	Isolate	GCA_001639275_Mbb_oralis_isolate	Human subgingival plaque		ZRT ;  DSM 7256T ( GCM10004360 ) ;  JCM 30027T ;  	66851				
Methanobrevibacter	ruminantium	Isolate	GCA_000024185_Mbb_ruminantium_isolate	Cattle	M1	OCM 146T ;  ATCC 35063T ;  M1T ( GCM10017209 ) ;  DSM 1093T ;  JCM 13430T ;  	83816	https://www.ncbi.nlm.nih.gov/assembly/GCF_000024185.1/			
Methanobrevibacter	smithii	Isolate	CP000678-1_Mbb_smithii_DSM861_PS_isolate	primary sewage digester	PS	"DSM 861, ATCC 35061, JCM 30028, OCM 144"	420247				
Methanobrevibacter	smithii	Isolate	GCA_000151225_GUT_GENOME132205_Mbb_smithii_DSM2374_F1_isolate	Human	F1	DSM 2374					
Methanobrevibacter	smithii	Isolate	GCA_000151245_Mbb_smithii_DSM2375_ALI_isolate	Human	ALI	DSM 2375					
Methanobrevibacter	smithii	MAG	GUT_GENOME011239_Mbb_smithii	Human							
Methanobrevibacter	smithii	MAG	GUT_GENOME011714_Mbb_smithii	Human							
Methanobrevibacter	smithii	MAG	GUT_GENOME012603_Mbb_smithii	Human							
Methanobrevibacter	smithii	MAG	GUT_GENOME018608_Mbb_smithii	Human							
Methanobrevibacter	smithii	MAG	GUT_GENOME018729_Mbb_smithii	Human							
Methanobrevibacter	smithii	MAG	GUT_GENOME093513_Mbb_smithii	Human							
Methanobrevibacter	smithii	MAG	GUT_GENOME120881_Mbb_smithii	Human							
Methanobrevibacter	smithii	MAG	GUT_GENOME130816_Mbb_smithii	Human							
Methanobrevibacter	smithii	MAG	GUT_GENOME137479_Mbb_smithii	Human							
Methanobrevibacter	smithii	MAG	GUT_GENOME235276_Mbb_smithii	Human							
Methanobrevibacter	smithii	MAG	GUT_GENOME268176_Mbb_smithii	Human							
Methanobrevibacter	smithii	MAG	GUT_GENOME270563_Mbb_smithii	Human							
Methanobrevibacter	smithii	MAG	GUT_GENOME283326_Mbb_smithii	Human							
Methanobrevibacter	smithii	Isolate	na	Human	B181	DSM 11975					
Methanobrevibacter	smithii 	MAG	GUT_GENOME091220_Mbb_smithii	Human							
Methanobrevibacter	smithii 	MAG	GUT_GENOME163069_Mbb_smithii	Human							
Methanobrevibacter	smithii 	Isolate	Mbb_smithii_GRAZ-2_isolate	Human	strain GRAZ-2						
Methanobrevibacter	smithii_A	MAG	GUT_GENOME066320_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME067559_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME092268_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME092376_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME094058_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME103665_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME104028_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME104378_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME109037_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	Isolate	GUT_GENOME143185_Mbb_smithii_A_isolate WWM1085 	Human	WWM1085						
Methanobrevibacter	smithii_A	MAG	GUT_GENOME186606_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME239080_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME251364_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME258505_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME272533_Mbb_smithii_A	Human							
