Supplementary Table S2: Distance Matrix of 16S rRNA genes																												
																												
	CP000678-1_Mbb_smithii_DSM861_PS_isolate_16S_v1	CP000678-1_Mbb_smithii_DSM861_PS_isolate_16S_v2	GCA_000024185_Mbb_ruminantium_isolate_v1	GCA_000024185_Mbb_ruminantium_isolate_v2	GCA_000151225_GUT_GENOME132205_Mbb_smithii_DSM2374_F1_isolate	GCA_000151245_Mbb_smithii_DSM2375_ALI_isolate	GCA_000320505_Mbb_boviskoreani_isolate	GCA_000621965-1_Mbb_wolinii_isolate	GCA_001563245_Mbb_olleyae_isolate.fasta	GCA_001639265_Mbb_filiformis_isolate	GCA_001639275_Mbb_oralis_isolate	GCA_001639285_Mbb_cuticularis_isolate	GCA_001639295_Mbb_curvatus_isolate	GCA_002072215_Mbb_arboriphilus_isolate	GCA_003111605_Mbb_woesei_isolate	GCA_003111625_Mbb_thaueri_isolate	GCA_900103415_Mbb_millerae_isolate	GCA_900109595_Mbb_gottschalkii_isolate	GCF_000513315_GUT_GENOME287004_Mbb_arboriphilus_isolate_v1	GCF_000513315_GUT_GENOME287004_Mbb_arboriphilus_isolate_v2	GCF_000529525_GUT_GENOME132204_Mbb_oralis_isolate	GUT_GENOME143185_Mbb_smithii_A_isolate	Mbb_smithii_GRAZ-2_isolate_v1	Mbb_smithii_GRAZ-2_isolate_v2	GCA_000012545_Ms_stadtmanae_v1	GCA_000012545_Ms_stadtmanae_v2	GCA_000012545_Ms_stadtmanae_v3	GCA_000012545_Ms_stadtmanae_v4
CP000678-1_Mbb_smithii_DSM861_PS_isolate_16S_v1																												
CP000678-1_Mbb_smithii_DSM861_PS_isolate_16S_v2	0.0000000000																											
GCA_000024185_Mbb_ruminantium_isolate_v1	0.0646704769	0.0646704769																										
GCA_000024185_Mbb_ruminantium_isolate_v2	0.0661352563	0.0661352563	0.0013532632																									
GCA_000151225_GUT_GENOME132205_Mbb_smithii_DSM2374_F1_isolate	0.0000000000	0.0000000000	0.0646704769	0.0661352563																								
GCA_000151245_Mbb_smithii_DSM2375_ALI_isolate	0.0006755992	0.0006755992	0.0639295958	0.0653931955	0.0006755992																							
GCA_000320505_Mbb_boviskoreani_isolate	0.0686406501	0.0686406501	0.0670145724	0.0684856036	0.0686406501	0.0678932728																						
GCA_000621965-1_Mbb_wolinii_isolate	0.0655478551	0.0655478551	0.0654571707	0.0669241908	0.0655478551	0.0662917983	0.0367437719																					
GCA_001563245_Mbb_olleyae_isolate.fasta	0.0601656518	0.0601656518	0.0157184452	0.0157184452	0.0601656518	0.0594298691	0.0646984559	0.0572822044																				
GCA_001639265_Mbb_filiformis_isolate	0.0711470695	0.0711470695	0.0578188120	0.0592675691	0.0711470695	0.0704022906	0.0704633550	0.0741738847	0.0599146303																			
GCA_001639275_Mbb_oralis_isolate	0.0129406428	0.0129406428	0.0669779598	0.0684481474	0.0129406428	0.0122540515	0.0746500599	0.0738385289	0.0595179928	0.0704305562																		
GCA_001639285_Mbb_cuticularis_isolate	0.0572494124	0.0572494124	0.0594298691	0.0594298691	0.0572494124	0.0565160892	0.0676334312	0.0713391150	0.0535142739	0.0381875079	0.0565385379																	
GCA_001639295_Mbb_curvatus_isolate	0.0641583604	0.0641583604	0.0566266888	0.0580803497	0.0641583604	0.0641583604	0.0738170905	0.0737764721	0.0601709821	0.0404508919	0.0656728246	0.0347895908																
GCA_002072215_Mbb_arboriphilus_isolate	0.0587798694	0.0587798694	0.0610440609	0.0610440609	0.0587798694	0.0587798694	0.0684114588	0.0668512074	0.0521190828	0.0403417341	0.0587200760	0.0199505018	0.0404982906															
GCA_003111605_Mbb_woesei_isolate	0.0297668631	0.0297668631	0.0581072671	0.0581072671	0.0297668631	0.0290612963	0.0679904812	0.0642514917	0.0499533487	0.0698539028	0.0276322300	0.0588286189	0.0671495315	0.0574154565														
GCA_003111625_Mbb_thaueri_isolate	0.0275494529	0.0275494529	0.0662435905	0.0662435905	0.0275494529	0.0268484931	0.0775542812	0.0766612911	0.0624699151	0.0712432027	0.0268662371	0.0624499368	0.0678816350	0.0662148791	0.0347326311													
GCA_900103415_Mbb_millerae_isolate	0.0226136252	0.0226136252	0.0675845999	0.0675845999	0.0226136252	0.0219184482	0.0813701145	0.0789763177	0.0616727526	0.0733561307	0.0239985752	0.0616127569	0.0670714066	0.0631550729	0.0367926438	0.0191764182												
GCA_900109595_Mbb_gottschalkii_isolate	0.0254430661	0.0254430661	0.0721053247	0.0721053247	0.0254430661	0.0261425965	0.0856983225	0.0758471806	0.0646208033	0.0786428384	0.0275260253	0.0675672520	0.0738685222	0.0683444385	0.0446996366	0.0184716664	0.0219466272											
GCF_000513315_GUT_GENOME287004_Mbb_arboriphilus_isolate_v1	0.0587714385	0.0587714385	0.0609919880	0.0609919880	0.0587714385	0.0587714385	0.0655118075	0.0661087587	0.0521483859	0.0389202644	0.0587948531	0.0213281737	0.0404643378	0.0027067418	0.0573665536	0.0640064260	0.0616865270	0.0683832477										
GCF_000513315_GUT_GENOME287004_Mbb_arboriphilus_isolate_v2	0.0587298471	0.0587298471	0.0609919880	0.0609919880	0.0587298471	0.0587298471	0.0661985539	0.0667940568	0.0521116597	0.0388932346	0.0587532282	0.0213281737	0.0404428635	0.0027085744	0.0573259485	0.0646928756	0.0616428137	0.0683345622	0.0000000000									
GCF_000529525_GUT_GENOME132204_Mbb_oralis_isolate	0.0143215250	0.0143215250	0.0677240735	0.0691954651	0.0143215250	0.0136334150	0.0761911061	0.0753764447	0.0602563033	0.0711771445	0.0013496109	0.0572735032	0.0664196874	0.0594990029	0.0290524031	0.0282814004	0.0254033431	0.0289405709	0.0595326336	0.0594904659								
GUT_GENOME143185_Mbb_smithii_A_isolate WWM1085	0.0020332130	0.0020332130	0.0617480641	0.0632090279	0.0020332130	0.0013548704	0.0650522286	0.0649266884	0.0572607756	0.0690443212	0.0115992962	0.0550764159	0.0627017091	0.0574167970	0.0283948620	0.0255215081	0.0219749976	0.0262103582	0.0573678923	0.0573678923	0.0129809103							0.0013548704
Mbb_smithii_GRAZ-2_isolate_v1	0.0006763087	0.0006763087	0.0654848660	0.0669525191	0.0006763087	0.0013532205	0.0694664892	0.0663657837	0.0609696086	0.0719727201	0.0136423065	0.0580475568	0.0649744946	0.0595820539	0.0305059886	0.0282814004	0.0233343325	0.0261706295	0.0595734927	0.0595312666	0.0150261992	0.0027150214						0.0006763087
Mbb_smithii_GRAZ-2_isolate_v2	0.0006763087	0.0006763087	0.0654848660	0.0669525191	0.0006763087	0.0013532205	0.0694664892	0.0663657837	0.0609696086	0.0719727201	0.0136423065	0.0580475568	0.0649744946	0.0595820539	0.0305059886	0.0282814004	0.0233343325	0.0261706295	0.0595734927	0.0595312666	0.0150261992	0.0027150214	0.0000000000					0.0000000000
